date,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
928717PC051000F,1534.8,1752.6,2046.3,1484.6999999999998,889.2,1029,1376.1,1753.95,1777.8,1707.6,1740.15,1423.95
928717PC060300F,430.1,230.01,201.10999999999999,61.70999999999999,113.89999999999999,257.21,200.26,139.23,124.77999999999999,241.22999999999996,198.72999999999996,-1.4210854715202004e-14
928717PC060500F,446.41999999999996,503.53999999999996,457.80999999999995,218.78999999999996,89.75999999999996,116.44999999999996,121.88999999999997,123.92999999999996,58.64999999999996,-3.197442310920451e-14,-3.197442310920451e-14,-3.197442310920451e-14
928717PE060300F,0,0,0,0,0,143.99,405.96000000000004,386.75,285.94,418.88,463.42,428.4
928717PE060500F,0,0,0,0,14.959999999999999,187.51000000000002,432.47999999999996,614.55,688.8399999999999,659.77,850.51,685.7800000000001
928972PC020750J,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15
928972PC021000J,900.4500000000003,664.6500000000002,738.4500000000002,977.8500000000001,961.3500000000001,717.6000000000001,733.6500000000001,611.2500000000001,118.05000000000017,-35.999999999999844,-35.999999999999844,1.5631940186722204e-13
928972PC021000N,67.5,67.5,0,0,0,0,0,0,0,0,0,0
928972PT021000J,0,0,0,0,0,0,0,0,0,0,0,0
930971PC041500J,0,0,0,0,0,0,0,0,0,0,0,0
930971PC042000A,1199.12,1123.6299999999999,1083.7199999999998,1061.06,1025.31,1098.5,908.5699999999999,895.05,1138.4099999999999,1145.17,1073.4099999999999,1564.29
930971PC042000J,0,0,0,0,0,0,0,0,0,0,0,0
930971PC051000A,1293.44,1004.4800000000001,978.4000000000002,1040.64,942.0800000000002,1008.4800000000001,949.1200000000001,1032.96,1419.3600000000001,1186.56,666.4000000000001,1526.24
930971PC051000J,0,0,0,0,0,0,0,0,0,0,0,0
930971PC051000P,367.84000000000003,270.72,261.44000000000005,272.32000000000005,304.16,265.28000000000003,196.16000000000003,243.68,388.8,347.36,302.24,420.8
