Link (Cust + PH),Country,ABC-XYZ,201401,201402,201403,201404,201405,201406,201407,201408,201409,201410,201411,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712
17010105PT070200A,ISEEI,C-Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.13,926.63,693.75,0,0,947.25,478.88,475.13,938.25,0,0,0,0,957.38,0,476.63,"1,185.38",464.25
17010105PT070250A,ISEEI,NOT SOLD IN THE LAST YEAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17010105PT070330A,ISEEI,C-Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.13,702.75,0,0,0,677.25,0,696.75,0,701.63,341.63,352.13,0,2.25,0,352.13,300.38,"1,353.00"
17010105PT070350A,ISEEI,NOT SOLD IN THE LAST YEAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17010105PT081000A,ISEEI,NOT SOLD IN THE LAST YEAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17010702PC031000A,ISEEI,NOT SOLD IN THE LAST YEAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17010702PC050500A,ISEEI,C-Z,"1,402.24",715.2,"1,138.56","1,579.20",981.44,905.28,634.56,"1,016.64","1,316.80","2,421.76",279.04,"1,630.40","1,635.52","1,010.24","1,394.24","1,216.00","1,166.08",931.2,643.84,432.32,839.36,"2,509.12",889.6,"1,264.64","1,367.36",339.52,634.88,"1,212.80",833.92,"1,280.64","1,213.12",670.08,0,0,0,460.8,0,0,551.68,642.24,0,0,0,183.36,436.16,0,185.92,367.04
17010702PC051000A,ISEEI,A-X,"8,005.44","8,072.00","3,154.88","6,045.76","4,555.20","4,486.08","4,799.04","5,096.00","8,430.08","6,195.52","5,039.36","6,140.16","4,819.52","5,952.00","5,477.44","9,087.68","4,456.00","5,976.96","6,595.20","4,303.36","5,172.48","6,902.72","4,560.96","6,670.72","5,891.20","5,487.36","7,611.52","6,654.40","5,697.28","7,207.36","6,077.12","5,862.72","8,029.44","5,733.76","7,804.48","7,518.40","5,755.84","8,027.20","6,384.00","9,213.76","6,952.32","5,750.08","5,663.68","6,597.76","4,798.40","4,330.56","7,576.00","11,353.28"
17010702PC070150F,ISEEI,NOT SOLD IN THE LAST YEAR,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17010702PC070200A,ISEEI,B-Y,"1,232.25",0,"1,238.63",0,0,0,0,708.38,"1,251.38",795,0,459.75,"1,169.63",689.25,0,"2,840.25",483.38,481.88,"1,666.50",478.13,925.5,709.88,"2,098.50",0,"1,905.00","1,414.13",0,"1,711.13","1,249.13","1,054.88",0,0,"1,639.13","1,174.13","1,395.00","1,394.25","1,098.75","1,034.25",0,"1,691.25",0,925.13,"1,202.25",957.38,0,"1,108.50","1,134.75","1,671.75"
17010702PC070250A,ISEEI,NOT SOLD IN THE LAST YEAR,0,1.88,247.88,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17010702PC070350A,ISEEI,C-Z,0,0,0,0,0,0,166.88,0,356.25,0,0,0,170.63,0,0,352.88,0,0,0,349.5,0,0,0,0,336.75,0,0,0,344.25,0,0,0,0,349.13,0,0,273,84.75,0,0,0,177.75,351.75,0,0,0,347.63,0
17010702PC070350F,ISEEI,NOT SOLD IN THE LAST YEAR,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17011901PC070200A,ISEEI,C-Z,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5,0,0,0,949.5,0,0,0,0,0,0,0,0,0,0,483.38,711.75,477.75,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0
17011901PC070250A,ISEEI,C-Z,501,0,0,941.63,0,0,0,0,238.13,0,0,"1,837.13",0,908.25,0,478.13,0,930,0,0,0,0,576.75,0,0,0,943.88,0,0,239.25,948.75,0,0,"1,885.50",0,0,0,0,0,947.25,0,483.75,712.88,0,961.5,238.88,0,0
17011901PC070300A,ISEEI,C-Z,190.13,0,182.63,0,0,0,179.63,0,0,0,0,507.75,323.63,540,0,0,0,0,353.25,0,0,0,515.63,0,0,0,176.63,0,0,0,183.75,0,0,841.13,0,0,0,0,0,0,0,"1,035.38",177.38,0,182.25,343.5,0,0
